area,location,bhk,bath,balcony,parking,furnishing,property_type,age,price,area_per_bhk,bath_per_bhk,age_squared
2065,Bannerghatta Road,2,3,0,1,Semi-Furnished,Independent House,3,17280000,1032.5,1.5,9
1539,Yelahanka,3,1,0,1,Unfurnished,Villa,8,9410000,513.0,0.3333333333333333,64
2048,Bannerghatta Road,3,1,2,0,Semi-Furnished,Independent House,10,20300000,682.6666666666666,0.3333333333333333,100
1233,Sarjapur Road,3,2,1,2,Fully-Furnished,Apartment,12,9060000,411.0,0.6666666666666666,144
2487,Yelahanka,3,3,2,1,Fully-Furnished,Villa,4,28660000,829.0,1.0,16
1618,Yelahanka,2,3,1,1,Unfurnished,Apartment,1,10320000,809.0,1.5,1
2407,Whitefield,1,1,1,2,Unfurnished,Independent House,13,20820000,2407.0,1.0,169
1672,Banashankari,2,2,1,0,Unfurnished,Apartment,11,11420000,836.0,1.0,121
1506,Sarjapur Road,5,2,1,1,Semi-Furnished,Villa,4,7540000,301.2,0.4,16
847,Sarjapur Road,2,2,2,1,Semi-Furnished,Villa,6,4240000,423.5,1.0,36
1625,KR Puram,1,1,0,0,Fully-Furnished,Apartment,4,7250000,1625.0,1.0,16
1093,JP Nagar,3,3,1,0,Fully-Furnished,Independent House,14,7730000,364.3333333333333,1.0,196
950,Uttarahalli,4,3,2,2,Fully-Furnished,Independent House,13,10320000,237.5,0.75,169
2075,Sarjapur Road,3,3,2,2,Fully-Furnished,Apartment,11,14310000,691.6666666666666,1.0,121
1750,Bannerghatta Road,3,1,2,1,Semi-Furnished,Apartment,10,16420000,583.3333333333334,0.3333333333333333,100
2347,Rajajinagar,2,3,0,2,Fully-Furnished,Independent House,6,26300000,1173.5,1.5,36
1071,Marathahalli,5,5,1,2,Fully-Furnished,Apartment,15,4630000,214.2,1.0,225
1357,Jayanagar,1,2,0,0,Unfurnished,Independent House,9,6190000,1357.0,2.0,81
2442,Rajajinagar,4,5,1,0,Unfurnished,Apartment,11,20000000,610.5,1.25,121
1630,Marathahalli,5,3,0,2,Fully-Furnished,Apartment,6,10500000,326.0,0.6,36
